model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,True,0.0,22,128,0.1,128,True,True,0.6826116526864656,0.6066897347174164,0.07876230661040788,0.6746987951807228,0.14105793450881615,0.658863193537323,0.818286120891571,20
blitz,1,0.01,True,0.0,22,128,0.1,128,False,True,0.6515529358422126,0.792964244521338,0.11235955056179775,0.4819277108433735,0.18223234624145784,0.6908919749257478,0.6769291162490845,15
blitz,1,0.01,True,0.0,22,128,0.1,256,True,True,0.6456585808206756,0.8460207612456747,0.11983471074380166,0.3493975903614458,0.17846153846153848,0.6931469062196698,0.7452662587165833,20
blitz,1,0.01,True,0.0,22,128,0.1,256,False,True,0.825663114939923,0.6193771626297578,0.08608321377331421,0.7228915662650602,0.15384615384615388,0.7035239686790774,0.669173538684845,35
blitz,1,0.01,True,0.0,22,128,0.2,128,True,True,0.746769440036273,0.5599769319492502,0.06743002544529263,0.6385542168674698,0.12197928653624858,0.6547255040756605,0.7288823127746582,5
blitz,1,0.01,True,0.0,22,128,0.2,128,False,True,0.6754704148719112,0.7410611303344867,0.10560344827586207,0.5903614457831325,0.17915904936014626,0.6919501142060671,0.7131927013397217,10
blitz,1,0.01,True,0.0,22,128,0.2,256,True,True,0.7189979596463387,0.674163783160323,0.08304498269896193,0.5783132530120482,0.1452344931921331,0.6822444228762415,0.7009553909301758,15
blitz,1,0.01,True,0.0,22,128,0.2,256,False,True,0.7435955565631376,0.7750865051903114,0.09921671018276762,0.4578313253012048,0.1630901287553648,0.6880459451373027,0.6976836323738098,35
blitz,1,0.01,True,0.0,23,32,0.1,128,True,True,0.740648379052369,0.6770472895040369,0.09090909090909091,0.6385542168674698,0.15915915915915915,0.6793692030386842,0.6533612012863159,30
blitz,1,0.01,True,0.0,23,32,0.1,128,False,True,0.7463160281115393,0.745674740484429,0.10398230088495575,0.5662650602409639,0.17570093457943925,0.6944312683806091,0.6450814604759216,25
blitz,1,0.01,True,0.0,23,32,0.1,256,True,True,0.7995919292677398,0.9388696655132641,0.1891891891891892,0.08433734939759036,0.11666666666666667,0.6665328789415689,0.7565181255340576,30
blitz,1,0.01,True,0.0,23,32,0.1,256,False,True,0.7499433235094083,0.7301038062283737,0.08955223880597014,0.5060240963855421,0.15217391304347824,0.6816825144308305,0.6857671737670898,20
blitz,1,0.01,True,0.0,23,32,0.2,128,True,True,0.7379279075039673,0.7572087658592849,0.10141509433962265,0.5180722891566265,0.1696252465483235,0.6796538060175286,0.6708534359931946,5
blitz,1,0.01,True,0.0,23,32,0.2,128,False,True,0.7277828156880526,0.6695501730103807,0.08333333333333333,0.5903614457831325,0.14605067064083457,0.6666204490889055,0.7282175421714783,30
blitz,1,0.01,True,0.0,23,32,0.2,256,True,True,0.7743142144638404,0.839677047289504,0.11155378486055777,0.3373493975903614,0.16766467065868262,0.6733049703356127,0.6983767151832581,10
blitz,1,0.01,True,0.0,23,32,0.2,256,False,True,0.7498299705282249,0.7739331026528259,0.10687022900763359,0.5060240963855421,0.17647058823529413,0.6988097757474476,0.6323589086532593,35
blitz,1,0.01,True,0.0,23,64,0.1,128,True,True,0.7408750850147359,0.7860438292964245,0.1043956043956044,0.4578313253012048,0.17002237136465326,0.6806535651996235,0.741021454334259,35
blitz,1,0.01,True,0.0,23,64,0.1,128,False,True,0.7590115620040806,0.6724336793540946,0.08404802744425385,0.5903614457831325,0.14714714714714713,0.685929666576664,0.6451927423477173,30
blitz,1,0.01,True,0.0,23,64,0.1,256,True,True,0.7517569712083427,0.9273356401384083,0.14754098360655737,0.10843373493975904,0.125,0.6517627140907664,0.673161506652832,15
blitz,1,0.01,True,0.0,23,64,0.1,256,False,True,0.7880299251870325,0.7612456747404844,0.10874704491725769,0.5542168674698795,0.18181818181818182,0.7020936562725768,0.634280800819397,15
blitz,1,0.01,True,0.0,23,64,0.2,128,True,True,0.7418952618453866,0.9232987312572087,0.16216216216216217,0.14457831325301204,0.15286624203821655,0.6423343282275071,0.8346728682518005,30
blitz,1,0.01,True,0.0,23,64,0.2,128,False,True,0.7493765586034913,0.7554786620530565,0.09307875894988067,0.46987951807228917,0.1553784860557769,0.6696635117088584,0.6401591300964355,35
blitz,1,0.01,True,0.0,23,64,0.2,256,True,True,0.7664361822715937,0.7837370242214533,0.11780104712041885,0.5421686746987951,0.19354838709677422,0.7018528383674005,0.712354838848114,35
