layers,learning_rate,oversample,seed,hidden_layer_size,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
2,1e-05,0.0,21,16,0.05026455026455026,0.05026455026455026,0.9156626506024096,0.09529780564263324,0.5582888793210394,0.6911087036132812,10
2,1e-05,0.0,21,32,0.044270833333333336,0.044270833333333336,0.40963855421686746,0.07990599294947122,0.47317069610969625,0.7026202082633972,0
2,1e-05,0.0,21,64,0.04983388704318937,0.04983388704318937,0.5421686746987951,0.09127789046653144,0.5631490224982303,0.6844325661659241,180
2,1e-05,0.5,21,16,0.049906425452276984,0.049906425452276984,0.963855421686747,0.09489916963226572,0.5569461370618756,0.6925399899482727,10
2,1e-05,0.5,21,32,0.05084745762711865,0.05084745762711865,0.39759036144578314,0.0901639344262295,0.47269635781162195,0.7067541480064392,5
2,1e-05,0.5,21,64,0.0506108202443281,0.0506108202443281,0.6987951807228916,0.09438567941415786,0.47947574671794385,0.7006989121437073,60
2,1e-05,1.0,21,16,0.05043050430504305,0.05043050430504305,0.9879518072289156,0.09596255119953187,0.5570701947706027,0.6926344037055969,30
2,1e-05,1.0,21,32,0.054276315789473686,0.054276315789473686,0.39759036144578314,0.09551374819102751,0.47039764144403173,0.7084460258483887,5
2,1e-05,1.0,21,64,0.04419889502762431,0.04419889502762431,0.3855421686746988,0.07930607187112762,0.4655156057300066,0.7070118188858032,25
3,0.0001,0.0,21,16,0.10067114093959731,0.10067114093959731,0.5421686746987951,0.16981132075471697,0.690133033648829,0.672326922416687,145
3,0.0001,0.0,21,32,0.08471760797342193,0.08471760797342193,0.6144578313253012,0.1489051094890511,0.6799238139718169,0.6428755521774292,25
3,0.0001,0.0,21,64,0.1652542372881356,0.1652542372881356,0.46987951807228917,0.2445141065830721,0.7077565258003546,0.9297235012054443,135
3,0.0001,0.5,21,16,0.0467706013363029,0.0467706013363029,0.5060240963855421,0.08562691131498473,0.5205315507943342,0.6923506259918213,30
3,0.0001,0.5,21,32,0.07282184655396619,0.07282184655396619,0.6746987951807228,0.13145539906103285,0.6640225347179147,0.6759333610534668,40
3,0.0001,0.5,21,64,0.07300115874855156,0.07300115874855156,0.7590361445783133,0.1331923890063425,0.6878635073303511,0.6640837788581848,5
3,0.0001,1.0,21,16,0.04713493530499076,0.04713493530499076,0.6144578313253012,0.08755364806866953,0.5345902081980253,0.6913058161735535,85
3,0.0001,1.0,21,32,0.06165228113440197,0.06165228113440197,0.6024096385542169,0.11185682326621922,0.6043726693570162,0.684016764163971,40
3,0.0001,1.0,21,64,0.0858433734939759,0.0858433734939759,0.6867469879518072,0.15261044176706828,0.7143315843628908,0.6181256175041199,135
3,0.001,0.0,21,16,0.15450643776824036,0.15450643776824036,0.43373493975903615,0.22784810126582275,0.6771507593061525,1.3912276029586792,55
3,0.001,0.0,21,32,0.28,0.28,0.25301204819277107,0.26582278481012656,0.6658469127874308,3.8549587726593018,90
3,0.001,0.0,21,64,0.36065573770491804,0.36065573770491804,0.26506024096385544,0.3055555555555556,0.6614684054205922,4.0458478927612305,40
3,0.001,0.5,21,16,0.11246943765281174,0.11246943765281174,0.5542168674698795,0.1869918699186992,0.7013201199711019,0.8892863988876343,65
3,0.001,0.5,21,32,0.12276214833759591,0.12276214833759591,0.5783132530120482,0.20253164556962025,0.6975619011478986,1.2770756483078003,80
3,0.001,0.5,21,64,0.10730593607305935,0.10730593607305935,0.5662650602409639,0.1804222648752399,0.6912933381010413,1.1088695526123047,15
3,0.001,1.0,21,16,0.09403254972875226,0.09403254972875226,0.6265060240963856,0.16352201257861634,0.6866813103413048,1.2252721786499023,130
3,0.001,1.0,21,32,0.09433962264150944,0.09433962264150944,0.6626506024096386,0.16516516516516516,0.6924609400655317,0.679878830909729,5
3,0.001,1.0,21,64,0.0984182776801406,0.0984182776801406,0.6746987951807228,0.17177914110429446,0.6987149080878328,1.4249132871627808,55
3,1e-05,0.0,21,16,0.02247191011235955,0.02247191011235955,0.04819277108433735,0.030651340996168584,0.47103252501222326,0.6950466632843018,0
3,1e-05,0.0,21,32,0.0,0.0,0.0,0.0,0.5505462187940131,0.6964187026023865,0
3,1e-05,0.0,21,64,0.061371841155234655,0.061371841155234655,0.6144578313253012,0.11159737417943108,0.628812037976254,0.6697580814361572,135
3,1e-05,0.5,21,16,0.028368794326241134,0.028368794326241134,0.04819277108433735,0.03571428571428571,0.46687294301372656,0.6952457427978516,0
3,1e-05,0.5,21,32,0.0,0.0,0.0,0.0,0.5259827924660483,0.6987354159355164,0
3,1e-05,0.5,21,64,0.05255579553635709,0.05255579553635709,0.8795180722891566,0.09918478260869565,0.5182182394021878,0.6929324269294739,15
