#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-8.709616,10,2876.602705,0
-7.975947,24,2879.530295,1
-5.007524,20,2881.860831,1
-7.372165,30,2885.361371,1
-13.394881,42,2890.106848,1
-2.940627,16,2891.984258,1
-17.31069,100,2904.007403,0
-5.339577,22,2906.512822,1
-6.679352,26,2909.566566,1
-11.343094,30,2913.165419,1
-4.993407,22,2915.847578,1
-5.705632,25,2918.912561,1
-5.433847,20,2921.434927,1
-5.433207,17,2923.51705,1
-5.878083,26,2926.628354,1
-7.606229,24,2929.443393,1
-18.679868,100,2940.899947,0
-3.02484,13,2942.376431,1
-13.466507,60,2949.014702,1
-6.448664,25,2952.003617,1
-4.142486,19,2954.17201,1
-5.730793,20,2956.58852,1
-8.088044,27,2959.760317,1
-20.585142,100,2970.967761,0
-20.168387,100,2981.925962,0
-3.465489,15,2983.775278,1
-11.932855,24,2986.539816,0
-6.664355,28,2989.893715,1
-11.547181,17,2991.872147,0
-2.106551,12,2993.271418,1
-11.487614,15,2995.129726,0
-4.480703,19,2997.302442,1
-4.365102,14,2998.996557,1
-4.336812,19,3001.125979,1
-19.451048,100,3011.960644,0
-8.279358,27,3015.165839,1
-10.215272,44,3019.984544,1
-7.762455,22,3022.757424,1
-18.662225,100,3033.82991,0
-9.642166,34,3037.564484,1
-7.839085,28,3040.695139,1
-10.025202,39,3045.07154,1
-3.3479,16,3046.84744,1
-11.534221,40,3051.813093,1
-12.562602,42,3056.454834,1
-4.522617,21,3059.037477,1
-10.348565,38,3063.484408,1
-10.031464,13,3065.08899,0
-7.114574,26,3067.942267,1
-1.981653,10,3069.174001,1
-6.171381,25,3072.007318,1
-12.846711,35,3076.178172,1
-9.736707,33,3079.841369,1
-5.500133,19,3081.953859,1
-3.359195,16,3083.942079,1
-4.193294,18,3086.068554,1
-7.734694,30,3089.312821,1
-7.511831,22,3091.822525,1
-26.881698,100,3102.706467,0
-8.161949,28,3105.806991,1
-5.980767,25,3108.572489,1
-9.270727,33,3112.15633,1
-8.72512,28,3115.26969,1
-8.145594,24,3117.947578,1
-9.419106,34,3121.720712,1
-8.266877,22,3124.325153,1
-7.526004,23,3126.932171,1
-6.948,26,3129.832136,1
-7.853324,30,3133.090825,1
-17.568957,100,3145.297466,0
-12.814879,41,3149.967213,1
-1.975422,11,3151.251963,1
-6.052975,24,3154.027008,1
-8.31563,29,3157.181175,1
-4.187144,21,3159.866271,1
-6.399734,24,3162.632353,1
-7.398019,22,3165.171481,1
-3.682432,14,3166.720514,1
-4.249153,17,3168.606093,1
-4.61469,20,3170.901215,1
-7.912134,28,3173.960828,1
-9.374582,33,3177.566253,1
-7.932734,22,3179.953799,1
-2.533605,13,3181.417845,1
-4.004558,18,3183.605829,1
-12.174778,38,3187.91391,1
-5.911261,18,3189.881818,1
-4.059172,21,3192.206129,1
-4.650505,16,3194.029599,1
-17.854913,48,3199.721796,1
-8.492204,30,3202.989272,1
-4.513236,17,3204.853339,1
-2.841064,14,3206.420463,1
-4.466577,15,3208.078921,1
-19.354831,100,3219.233587,0
-7.328934,28,3222.359361,1
-12.04913,40,3226.811937,1
-10.703756,28,3229.855983,1
-7.669701,30,3233.189437,1
-9.82714,61,3240.869906,1
-3.088839,13,3242.334056,1
-6.84538,28,3245.533846,1
-11.236542,37,3250.048737,1
-7.395316,26,3252.9986,1
-10.155625,35,3257.153741,1
-5.869201,25,3260.001147,1
-5.390056,19,3262.294952,1
-3.292626,13,3263.905472,1
-10.303724,32,3267.640585,1
-7.33009,19,3269.982716,1
-3.29136,17,3272.224909,1
-11.034937,38,3276.832119,1
-2.584292,13,3278.462147,1
-2.641338,12,3279.813698,1
-5.201916,20,3282.078513,1
-9.122694,23,3284.666851,1
-10.687565,38,3288.829842,1
-7.481741,26,3291.812024,1
-15.207888,48,3297.280731,1
-11.9073,21,3299.677099,0
-9.649778,24,3302.765124,1
-10.048265,36,3306.833785,1
-22.523319,100,3317.814967,0
-15.098504,45,3323.207266,1
-16.630347,100,3334.435148,0
-3.59241,16,3336.246288,1
-6.297706,19,3338.39609,1
-9.657549,39,3342.660029,1
-19.023928,53,3348.463198,1
-7.747075,20,3350.709127,1
-4.856801,18,3352.753435,1
-3.89556,14,3354.357378,1
-13.868176,37,3358.455726,1
-19.438858,48,3364.039045,0
-3.587177,14,3365.623872,1
-7.935069,21,3368.046311,1
-4.079191,17,3370.012442,1
-10.497763,34,3373.997268,1
-10.752074,12,3375.355405,0
-8.213565,21,3377.761568,1
-6.528509,20,3379.989749,1
-10.230185,37,3384.512357,1
-14.376759,54,3390.600337,1
-3.344065,16,3392.435738,1
-9.116502,22,3395.090236,1
-2.399918,13,3396.567425,1
-6.695193,23,3399.150226,1
-9.075106,23,3401.671374,1
-11.869917,26,3404.574974,1
-9.183278,33,3408.672615,1
-5.328265,16,3410.57257,1
-9.320041,40,3415.001186,1
-7.598877,26,3418.038648,1
-3.571072,15,3419.816064,1
-8.789328,8,3420.766956,0
-5.165549,15,3422.456887,1
-8.651129,8,3423.456281,0
-11.115779,14,3425.044814,0
-7.24831,27,3428.221034,1
-13.850913,41,3432.961193,1
-16.386726,100,3444.174649,0
-8.737926,28,3447.535363,1
-7.391839,23,3450.084897,1
-6.774634,19,3452.195744,1
-7.652014,28,3455.280935,1
-6.819409,30,3458.874357,1
-4.730231,16,3461.093221,1
-6.166038,26,3464.201035,1
-9.272776,31,3468.340219,1
-6.103686,17,3470.671801,1
-4.843631,18,3472.900429,1
-6.664308,20,3475.574921,1
-6.994333,29,3479.117095,1
-22.023808,100,3490.514342,0
-4.252723,18,3492.554634,1
-5.824853,18,3494.569015,1
-12.359773,49,3500.463965,1
-2.408227,11,3501.734219,1
-4.709532,18,3503.738158,1
-6.766794,23,3506.855671,1
-6.014494,19,3509.26566,1
-8.007656,25,3512.084736,1
-3.993923,14,3513.826803,1
-8.240785,24,3516.586313,1
-4.835617,15,3518.318325,1
-10.762812,17,3520.83037,0
-4.163846,15,3522.904797,1
-8.762162,9,3524.11002,0
-12.657026,44,3529.735627,1
-8.518587,23,3532.502892,1
-8.062034,28,3535.961203,1
-7.587943,32,3539.877638,1
-9.613739,23,3542.598106,1
-7.245796,20,3544.995647,1
-3.317103,16,3546.908195,1
-7.477098,19,3549.275883,1
-1.735982,11,3550.743493,1
-2.955244,16,3552.700051,1
-8.590939,22,3555.241374,1
-5.501358,16,3557.147121,1
-8.713706,32,3561.154751,1
-2.949829,15,3562.97912,1
-6.665075,34,3566.785804,1
-4.667922,15,3568.712695,1
-6.391454,19,3571.152595,1
-9.632743,33,3575.164762,1
-2.938947,15,3576.921652,1
